Start_Date_Time,Start_Date_Time,Charging_Time,Energy_kWh,Port_Type,ObjectID,SOC_Level,Battery_Capacity_kWh,Charging_Count,Start_Time_Index,End_Time_Index,Time_Duration,Duration_Count
10/30/2023 5:45,10/30/2023 7:45,120,4.626,Level 2,75411,33.91,7,8,23,31,120,8
10/30/2023 6:30,10/30/2023 8:45,120,14.805,Level 2,75414,25.98,20,8,26,35,135,9
10/30/2023 7:00,10/30/2023 8:45,90,7.174,Level 2,75415,28.26,10,6,28,35,105,7
10/30/2023 7:00,10/30/2023 10:30,210,23.336,Level 2,75416,41.66,40,14,28,42,210,14
10/30/2023 7:30,10/30/2023 13:30,120,5.925,Level 2,75417,40.75,10,8,30,54,360,24
10/30/2023 7:45,10/30/2023 9:00,75,4.335,Level 2,75418,38.07,7,5,31,36,75,5
10/30/2023 7:45,10/30/2023 9:30,90,5.079,Level 2,75419,27.44,7,6,31,38,105,7
10/30/2023 8:00,10/30/2023 10:15,135,9.766,Level 2,75420,51.17,20,10,32,41,135,9
10/30/2023 8:15,10/30/2023 10:45,45,3.44,Level 2,75422,31.2,5,3,33,43,150,10
10/30/2023 8:15,10/30/2023 15:00,225,23.319,Level 2,75423,41.7,40,15,33,60,405,27
10/30/2023 8:30,10/30/2023 10:30,120,11.433,Level 2,75424,42.84,20,8,34,42,120,8
10/30/2023 8:30,10/30/2023 15:45,285,13.679,Level 2,75425,31.6,20,19,34,63,435,29
10/30/2023 8:45,10/30/2023 12:45,240,23.729,Level 2,75426,40.68,40,16,35,51,240,16
10/30/2023 9:00,10/30/2023 15:00,105,6.03,Level 2,75427,39.7,10,7,36,60,360,24
10/30/2023 9:00,10/30/2023 11:00,90,10.006,Level 2,75428,49.97,20,6,36,44,120,8
10/30/2023 9:15,10/30/2023 10:30,75,7.519,Level 2,75430,24.81,10,5,37,42,75,5
10/30/2023 9:45,10/30/2023 15:15,120,8.319,Level 2,75431,16.81,10,8,39,61,330,22
10/30/2023 9:45,10/30/2023 10:30,45,4.513,Level 2,75433,35.53,7,3,39,42,45,3
10/30/2023 10:00,10/30/2023 16:15,285,15.729,Level 2,75435,21.36,20,19,40,65,375,25
